Transaction_ID,Customer_ID,Amount,Type,Method,Status,Fraud_Flag,Date
1,1145,1826.45,Deposit,UPI,Success,0,2024-01-01 00:00:00
2,2411,4463.06,Deposit,UPI,Pending,0,2024-01-01 01:00:00
3,1784,2451.23,Withdrawal,UPI,Success,0,2024-01-01 02:00:00
4,2272,5283.16,Deposit,Wallet,Success,0,2024-01-01 03:00:00
5,1525,2759.83,Transfer,Card,Success,0,2024-01-01 04:00:00
6,2485,8646.25,Payment,UPI,Success,0,2024-01-01 05:00:00
7,1012,6077.17,Deposit,NetBanking,Success,0,2024-01-01 06:00:00
8,1902,12.4,Deposit,Wallet,Success,0,2024-01-01 07:00:00
9,1383,8056.68,Withdrawal,Card,Success,0,2024-01-01 08:00:00
10,1555,3308.82,Withdrawal,Wallet,Success,0,2024-01-01 09:00:00
11,1886,3208.88,Payment,Card,Success,0,2024-01-01 10:00:00
12,2422,3836.8,Deposit,Card,Success,0,2024-01-01 11:00:00
13,1018,6306.32,Transfer,Wallet,Success,0,2024-01-01 12:00:00
14,1574,4426.19,Payment,NetBanking,Success,0,2024-01-01 13:00:00
15,2514,6290.07,Transfer,NetBanking,Success,0,2024-01-01 14:00:00
16,1750,1476.34,Deposit,Wallet,Success,0,2024-01-01 15:00:00
17,2003,9701.94,Payment,UPI,Success,0,2024-01-01 16:00:00
18,1418,7298.77,Withdrawal,UPI,Success,0,2024-01-01 17:00:00
19,2360,2509.57,Withdrawal,Card,Pending,0,2024-01-01 18:00:00
20,1418,7244.46,Transfer,UPI,Success,0,2024-01-01 19:00:00
21,2938,5754.5,Payment,Wallet,Success,0,2024-01-01 20:00:00
22,2939,1100.8,Transfer,Wallet,Success,0,2024-01-01 21:00:00
23,2635,1790.18,Withdrawal,NetBanking,Success,0,2024-01-01 22:00:00
24,2698,422.67,Deposit,UPI,Success,0,2024-01-01 23:00:00
25,2951,8094.29,Withdrawal,UPI,Success,0,2024-01-02 00:00:00
26,1121,5521.53,Deposit,Card,Success,0,2024-01-02 01:00:00
27,1431,3174.32,Transfer,Wallet,Success,0,2024-01-02 02:00:00
28,1043,1272.19,Transfer,Wallet,Success,0,2024-01-02 03:00:00
29,2895,4845.62,Transfer,Wallet,Success,0,2024-01-02 04:00:00
30,2943,5257.36,Deposit,NetBanking,Success,0,2024-01-02 05:00:00
31,2340,7022.47,Transfer,NetBanking,Success,0,2024-01-02 06:00:00
32,1380,9699.67,Transfer,NetBanking,Success,0,2024-01-02 07:00:00
33,1144,4355.11,Payment,Wallet,Success,0,2024-01-02 08:00:00
34,2350,4066.28,Deposit,Wallet,Success,0,2024-01-02 09:00:00
35,1362,3705.6,Transfer,UPI,Success,0,2024-01-02 10:00:00
36,2073,8270.97,Transfer,Wallet,Success,0,2024-01-02 11:00:00
37,2088,1571.61,Deposit,Wallet,Pending,0,2024-01-02 12:00:00
38,1354,3444.69,Deposit,NetBanking,Success,0,2024-01-02 13:00:00
39,1799,7252.46,Withdrawal,UPI,Success,0,2024-01-02 14:00:00
40,2187,166.79,Withdrawal,Wallet,Success,0,2024-01-02 15:00:00
41,2164,2900.91,Payment,Card,Success,0,2024-01-02 16:00:00
42,2989,6418.06,Transfer,NetBanking,Success,0,2024-01-02 17:00:00
43,1825,1867.66,Deposit,Card,Success,0,2024-01-02 18:00:00
44,2151,3034.08,Transfer,UPI,Success,0,2024-01-02 19:00:00
45,1397,4865.59,Withdrawal,NetBanking,Failed,0,2024-01-02 20:00:00
46,2956,4226.02,Withdrawal,UPI,Success,0,2024-01-02 21:00:00
47,1879,1069.21,Withdrawal,Wallet,Success,0,2024-01-02 22:00:00
48,1462,9382.97,Deposit,NetBanking,Pending,0,2024-01-02 23:00:00
49,2774,452.48,Transfer,UPI,Failed,0,2024-01-03 00:00:00
50,2859,7499.93,Deposit,UPI,Success,0,2024-01-03 01:00:00
51,1807,723.51,Transfer,UPI,Success,0,2024-01-03 02:00:00
52,1186,4678.29,Payment,Card,Success,0,2024-01-03 03:00:00
